epoch,QRKM,QADMM,QRAF,QARAF,QWF,QRWF,QPAF
0,-0.07467419405907548,-0.07467419405907548,-0.07467419405907548,-0.07467419405907548,-0.07467419405907548,-0.07467419405907548,-0.07467419405907548
1,-0.2932558739876232,-0.07467419405907548,-0.3358762511268365,-0.1918243646278795,-0.27127780534779466,-0.2711890764289945,-0.3369413556211336
2,-0.42280295314638744,-0.2603617055275305,-0.39782701824576444,-0.2823366790920035,-0.28041490205670194,-0.28269587919939276,-0.3599577747139448
3,-0.5407258647084321,-0.30704998938434735,-0.4154841886379484,-0.34239952834873977,-0.2867833532655501,-0.32031506170285584,-0.37270323574717007
4,-0.7047119162605536,-0.3616178822541559,-0.46534827212650776,-0.38571510708765333,-0.29919201219764835,-0.3455308939453466,-0.4064391124122385
5,-0.9325625253169487,-0.40588308322931005,-0.49889893447059624,-0.4168115188186803,-0.3140769968472286,-0.36934481952505466,-0.43615683121991233
6,-1.1917147250191995,-0.46467668419611896,-0.5368026126419306,-0.43956866316896764,-0.32883429876921483,-0.3909790309861182,-0.4655491766432994
7,-1.4578349643895776,-0.5036689244157855,-0.5720524959595349,-0.46202868371775047,-0.34297589604509654,-0.4114962269301221,-0.4942617146938432
8,-1.7089610120673997,-0.5663035035772511,-0.608031440580185,-0.49013836139565364,-0.35651605671296543,-0.43135425061865057,-0.5226470830118032
9,-1.9879747064350648,-0.6159843615362333,-0.6439575410029278,-0.5243997669442408,-0.3695441476701561,-0.4509117299264617,-0.550886742658715
10,-2.2615138620346555,-0.6832633901321391,-0.6804826205826657,-0.5624573022690904,-0.3821522442907852,-0.47040900592807805,-0.5791535524460607
11,-2.492807193477732,-0.7398433955066344,-0.717666198513125,-0.6020704556781411,-0.39442309684696475,-0.4900194790826568,-0.6075927644223201
12,-2.7443307853641823,-0.8114914970309789,-0.7557136758328717,-0.6421397497624766,-0.4064282095347161,-0.5098736762559032,-0.6363318397139174
13,-2.9598084110385825,-0.8797828502470043,-0.7947249028769894,-0.6824872219798189,-0.41822805659426715,-0.530073337424451,-0.6654830473864536
14,-3.17067887858132,-0.9548401335329684,-0.8347837041746865,-0.7233803925297553,-0.4298729644803039,-0.5506987937177718,-0.6951447848174998
15,-3.370362992650003,-1.031677459404105,-0.8759347841059685,-0.765203780490505,-0.4414042455643045,-0.5718134911295072,-0.7254016120436391
16,-3.5903968348868465,-1.112261202825595,-0.9181990006602921,-0.8082946818617984,-0.45285539730762653,-0.5934673434939122,-0.75632391375955
17,-3.797526831657966,-1.1940076378564415,-0.9615767679853819,-0.8528774786280383,-0.4642532671201576,-0.6156994546086382,-0.787967723811541
18,-4.002438696416969,-1.2793683258385387,-1.0060540145458656,-0.8990579007934837,-0.47561913083093,-0.638540279803546,-0.8203749772350954
19,-4.228931606966078,-1.364230613744904,-1.0516048826942896,-0.9468546538835828,-0.48696966119610796,-0.6620132088323781,-0.853574222542525
20,-4.418568991877346,-1.4516408208878402,-1.098192084367567,-0.9962441972178754,-0.49831777934078647,-0.6861355975717992,-0.8875816838019348
21,-4.622100706806026,-1.5376976138854388,-1.1457646886861108,-1.047197392194419,-0.509673391070047,-0.7109193475012795,-0.9224024969817555
22,-4.815592797569754,-1.6248423105852734,-1.1942544923484513,-1.0996979196300327,-0.5210440147026126,-0.7363711978658269,-0.9580319365422809
23,-5.0025035896244425,-1.709771769627686,-1.2435725296070574,-1.1537432961926608,-0.532435309408968,-0.76249294417682,-0.9944564753601844
